ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(25,2)",ElectricalConductivity,Shallow,StoneFree,D,D1,7,2,S_25,dS/m,Samp,2,1
"CS650(25,3)",Temperature,Shallow,StoneFree,D,D1,7,2,S_25,oC,Samp,2,1
"CS650(25,4)",Permittivity,Shallow,StoneFree,D,D1,7,2,S_25,-,Samp,2,1
"CS650(25,5)",Period,Shallow,StoneFree,D,D1,7,2,S_25,uSec,Samp,2,1
"CS650(25,6)",VoltageRatio,Shallow,StoneFree,D,D1,7,2,S_25,-,Samp,2,1
"CS650(26,1)",VolumetricWaterContent,Shallow,StoneFree,D,D2,7,2,S_26,mm3/mm3,Samp,2,2
"CS650(26,2)",ElectricalConductivity,Shallow,StoneFree,D,D2,7,2,S_26,dS/m,Samp,2,2
"CS650(26,3)",Temperature,Shallow,StoneFree,D,D2,7,2,S_26,oC,Samp,2,2
"CS650(26,4)",Permittivity,Shallow,StoneFree,D,D2,7,2,S_26,-,Samp,2,2
"CS650(26,5)",Period,Shallow,StoneFree,D,D2,7,2,S_26,uSec,Samp,2,2
"CS650(26,6)",VoltageRatio,Shallow,StoneFree,D,D2,7,2,S_26,-,Samp,2,2
"CS650(27,1)",VolumetricWaterContent,Shallow,StoneFree,D,D3,7,2,S_27,mm3/mm3,Samp,2,3
"CS650(27,2)",ElectricalConductivity,Shallow,StoneFree,D,D3,7,2,S_27,dS/m,Samp,2,3
"CS650(27,3)",Temperature,Shallow,StoneFree,D,D3,7,2,S_27,oC,Samp,2,3
"CS650(27,4)",Permittivity,Shallow,StoneFree,D,D3,7,2,S_27,-,Samp,2,3
"CS650(27,5)",Period,Shallow,StoneFree,D,D3,7,2,S_27,uSec,Samp,2,3
"CS650(27,6)",VoltageRatio,Shallow,StoneFree,D,D3,7,2,S_27,-,Samp,2,3
"CS650(28,1)",VolumetricWaterContent,Shallow,StoneFree,D,D4,7,2,S_28,mm3/mm3,Samp,2,4
"CS650(28,2)",ElectricalConductivity,Shallow,StoneFree,D,D4,7,2,S_28,dS/m,Samp,2,4
"CS650(28,3)",Temperature,Shallow,StoneFree,D,D4,7,2,S_28,oC,Samp,2,4
"CS650(28,4)",Permittivity,Shallow,StoneFree,D,D4,7,2,S_28,-,Samp,2,4
